fecha,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin
2011-03-24,13.0,0.0,8.8,17.2,10.0,9.7,17.2,4.5,963.9,961.3
2011-03-25,14.2,4.2,9.4,19.0,11.0,3.9,9.4,5.5,963.8,957.5
2011-03-26,13.9,1.1,7.9,19.9,24.0,3.1,11.4,5.4,958.7,953.6
2011-03-27,11.6,0.1,7.0,16.3,28.0,6.7,15.0,4.8,958.6,955.0
2011-03-28,11.4,0.0,6.4,16.5,28.0,3.6,11.1,6.0,960.9,958.3
2011-03-29,15.0,4.2,10.3,19.8,28.0,3.3,9.2,6.5,961.7,958.8
2011-03-30,14.2,0.0,7.9,20.4,30.0,2.8,9.2,7.5,966.4,961.2
2011-03-31,16.0,0.0,8.0,23.9,2.0,2.5,6.4,10.9,967.6,964.6
2011-04-01,17.9,0.0,9.0,26.8,9.0,3.9,8.9,11.0,965.6,958.1
2011-04-02,17.4,0.0,10.7,24.1,29.0,2.2,9.2,4.9,958.0,953.7
2011-04-03,16.4,3.5,12.4,20.3,19.0,2.8,15.8,0.2,958.6,951.8
2011-04-04,16.5,0.0,10.4,22.6,11.0,2.8,7.5,9.9,963.1,958.0
2011-04-05,19.0,0.0,11.0,27.0,11.0,3.9,11.4,10.2,964.6,960.9
2011-04-06,19.1,0.0,12.5,25.7,10.0,5.0,11.9,5.2,964.6,961.7
2011-04-07,19.6,0.0,10.7,28.4,9.0,3.3,14.7,9.1,967.0,962.9
2011-04-08,21.0,0.0,12.0,30.0,8.0,2.8,7.5,10.3,964.5,959.8
2011-04-09,19.8,0.0,10.6,29.1,30.0,3.1,10.0,11.6,962.2,959.0
2011-04-10,19.2,0.0,12.5,26.0,35.0,3.9,13.3,11.6,962.4,959.3
2011-04-11,16.4,0.0,9.0,23.9,5.0,1.9,9.7,11.9,964.1,961.1
2011-04-12,17.6,0.0,9.8,25.4,10.0,0.8,7.8,11.9,965.8,961.4
2011-04-13,18.2,0.0,8.7,27.7,32.0,0.8,5.8,12.5,961.7,955.1
2011-04-14,18.8,0.0,9.1,28.4,28.0,3.1,8.6,12.4,955.4,948.8
2011-04-15,18.0,0.0,10.7,25.2,11.0,2.8,13.6,12.3,952.8,949.1
2011-04-16,17.8,0.0,12.1,23.6,10.0,6.1,12.2,10.0,956.8,952.7
2011-04-17,16.3,0.0,9.2,23.4,11.0,3.9,13.1,12.5,958.8,954.7
2011-04-18,16.4,0.0,9.1,23.8,11.0,5.3,14.4,9.5,957.4,951.4
2011-04-19,16.6,0.9,10.6,22.5,26.0,4.4,14.2,6.4,951.9,948.2
2011-04-20,18.1,2.4,13.1,23.1,10.0,2.8,14.2,8.4,950.6,946.9
2011-04-21,15.0,52.3,10.3,19.8,12.0,4.7,13.9,3.1,950.2,944.9
2011-04-22,12.2,4.6,9.8,14.6,21.0,2.2,9.2,2.3,947.9,944.8
2011-04-23,13.8,0.4,9.5,18.0,5.0,1.7,11.1,3.0,950.9,947.2
2011-04-24,15.2,0.9,9.6,20.9,35.0,3.6,10.0,7.9,955.3,950.8
2011-04-25,16.2,0.3,10.6,21.7,36.0,2.2,9.7,9.0,957.1,954.5
2011-04-26,15.8,0.0,10.4,21.3,6.0,1.7,9.2,10.4,957.5,954.1
2011-04-27,17.0,0.0,10.0,24.0,5.0,1.7,8.9,13.0,956.0,951.6
2011-04-28,18.0,0.0,10.3,25.6,28.0,3.3,7.8,10.8,952.0,946.8
2011-04-29,14.9,1.0,10.8,19.0,19.0,2.2,11.4,0.7,946.9,940.9
2011-04-30,14.7,0.3,10.8,18.6,24.0,4.2,11.9,0.8,944.3,941.0
2011-05-01,16.2,0.5,11.5,20.9,18.0,2.5,8.3,7.2,944.6,940.5
2011-05-02,17.6,0.0,11.5,23.6,10.0,2.5,9.2,9.9,947.7,940.9
2011-05-03,19.0,0.0,14.5,23.4,28.0,4.7,13.3,10.3,956.7,947.7
2011-05-04,18.0,0.0,12.1,24.0,27.0,3.3,8.9,13.1,958.5,955.8
2011-05-05,18.4,0.0,12.0,24.9,16.0,1.9,7.2,11.5,958.1,954.3
2011-05-06,20.0,7.9,15.0,24.9,14.0,6.4,13.6,5.7,955.0,950.0
2011-05-07,15.6,1.2,12.0,19.1,29.0,5.3,11.9,3.9,958.1,951.1
2011-05-08,16.5,0.0,10.0,23.0,29.0,1.4,6.7,13.5,960.8,958.0
2011-05-09,19.6,0.0,11.1,28.0,10.0,3.6,10.6,13.0,961.2,958.4
2011-05-10,21.4,0.0,14.8,28.0,10.0,6.1,11.4,13.5,963.5,960.6
2011-05-11,20.6,0.0,12.8,28.5,10.0,4.2,10.6,11.6,963.0,957.8
2011-05-12,20.8,0.2,16.8,24.9,9.0,4.2,10.0,1.6,959.3,956.4
2011-05-13,22.4,0.0,15.3,29.4,21.0,2.8,8.6,10.8,958.4,955.7
2011-05-14,20.9,3.3,11.8,30.0,36.0,2.2,17.8,8.4,962.6,955.2
2011-05-15,16.4,0.0,8.4,24.3,7.0,4.2,10.8,13.7,964.6,961.7
2011-05-16,18.1,0.0,9.1,27.1,10.0,2.8,9.4,13.3,965.0,960.2
2011-05-17,20.0,3.5,13.8,26.3,10.0,3.9,9.7,5.5,961.6,956.8
2011-05-18,19.6,2.7,13.6,25.5,9.0,6.1,11.7,6.8,956.9,950.9
2011-05-19,16.2,0.0,12.8,19.6,12.0,5.0,11.9,1.2,958.1,953.9
2011-05-20,17.6,0.0,9.9,25.3,9.0,2.2,8.3,13.1,959.8,957.1
2011-05-21,20.6,0.0,12.0,29.2,9.0,2.8,9.4,11.8,960.6,957.6
2011-05-22,22.2,0.0,14.9,29.6,4.0,2.5,10.8,11.2,962.2,959.0
2011-05-23,23.5,0.0,15.5,31.5,11.0,2.2,7.8,13.1,963.6,960.6
2011-05-24,24.2,0.0,15.6,32.9,12.0,2.8,8.6,13.8,964.3,960.6
2011-05-25,24.8,0.0,16.0,33.6,20.0,2.8,9.7,12.9,962.9,958.4
